1605190887.675211, 	 reno rto:1000 mss:524 cwnd:10 segs_out:1 lastsnd:28220580 lastrcv:28220580 lastack:28220580 unacked:1
1605190887.710775, 	 reno rto:1000 mss:524 cwnd:10 segs_out:1 lastsnd:28220600 lastrcv:28220600 lastack:28220600 unacked:1
1605190887.730745, 	 reno wscale:9,9 rto:244 rtt:40.665/20.332 mss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 send 2.8Mbps lastsnd:12 lastrcv:12 lastack:12 pacing_rate 5.7Mbps unacked:10 rcv_space:14480
1605190887.750872, 	 reno wscale:9,9 rto:232 rtt:31.849/10.939 mss:1448 cwnd:20 bytes_acked:13057 segs_out:32 segs_in:7 send 7.3Mbps lastsnd:4 lastrcv:32 lastack:4 pacing_rate 14.5Mbps unacked:20 rcv_space:14480
1605190887.770525, 	 reno wscale:9,9 rto:232 rtt:29.685/4.495 mss:1448 cwnd:30 bytes_acked:27537 segs_out:52 segs_in:12 send 11.7Mbps lastsnd:4 lastrcv:52 lastack:4 pacing_rate 23.4Mbps unacked:30 rcv_space:14480
1605190887.789894, 	 reno wscale:9,9 rto:232 rtt:28.17/2.998 mss:1448 cwnd:48 bytes_acked:53601 segs_out:86 segs_in:21 send 19.7Mbps lastrcv:72 pacing_rate 39.5Mbps unacked:46 rcv_space:14480
1605190887.812773, 	 reno wscale:9,9 rto:236 rtt:33.391/5.382 mss:1448 cwnd:66 bytes_acked:79665 segs_out:122 segs_in:30 send 22.9Mbps lastsnd:4 lastrcv:96 lastack:4 pacing_rate 45.8Mbps unacked:64 rcv_space:14480
1605190887.834478, 	 reno wscale:9,9 rto:240 rtt:37.261/3.396 mss:1448 cwnd:45 ssthresh:33 bytes_acked:79665 segs_out:134 segs_in:38 send 14.0Mbps lastrcv:116 pacing_rate 25.0Mbps unacked:67 retrans:9/9 lost:12 sacked:19 rcv_space:14480
1605190887.853988, 	 reno wscale:9,9 rto:244 rtt:42.014/6.158 mss:1448 cwnd:33 ssthresh:33 bytes_acked:79665 segs_out:146 segs_in:44 send 9.1Mbps lastsnd:4 lastrcv:140 lastack:4 pacing_rate 22.2Mbps unacked:70 retrans:18/18 lost:18 sacked:37 rcv_space:14480
1605190887.875922, 	 reno wscale:9,9 rto:248 rtt:44.85/6.981 mss:1448 cwnd:28 ssthresh:33 bytes_acked:79665 segs_out:161 segs_in:52 send 7.2Mbps lastrcv:156 pacing_rate 24.5Mbps unacked:80 retrans:15/23 lost:15 sacked:52 rcv_space:14480
1605190887.895568, 	 reno wscale:9,9 rto:240 rtt:39.282/7.468 mss:1448 cwnd:25 ssthresh:33 bytes_acked:79665 segs_out:179 segs_in:63 send 7.4Mbps lastrcv:180 pacing_rate 32.9Mbps unacked:95 retrans:5/26 lost:5 sacked:70 rcv_space:14480
1605190887.918427, 	 reno wscale:9,9 rto:236 rtt:32.086/2.677 mss:1448 cwnd:32 ssthresh:16 bytes_acked:179577 segs_out:203 segs_in:76 send 11.6Mbps lastrcv:200 pacing_rate 21.7Mbps unacked:50 retrans:1/26 lost:1 sacked:18 rcv_space:14480
1605190887.938396, 	 reno wscale:9,9 rto:232 rtt:30.467/0.811 mss:1448 cwnd:16 ssthresh:16 bytes_acked:207089 segs_out:211 segs_in:88 send 6.1Mbps lastrcv:220 pacing_rate 16.4Mbps unacked:36 retrans:3/29 lost:8 sacked:15 rcv_space:14480
1605190887.957823, 	 reno wscale:9,9 rto:228 rtt:25.344/1.603 mss:1448 cwnd:16 ssthresh:16 bytes_acked:227361 segs_out:227 segs_in:101 send 7.3Mbps lastrcv:240 pacing_rate 17.0Mbps unacked:32 retrans:6/35 lost:6 sacked:16 rcv_space:14480
1605190887.977399, 	 reno wscale:9,9 rto:224 rtt:21.39/1.105 mss:1448 cwnd:16 ssthresh:16 bytes_acked:272249 segs_out:242 segs_in:115 send 8.7Mbps lastsnd:4 lastrcv:260 lastack:4 pacing_rate 10.4Mbps unacked:16 retrans:0/35 rcv_space:14480
1605190888.001134, 	 reno wscale:9,9 rto:224 rtt:20.607/0.472 mss:1448 cwnd:17 ssthresh:16 bytes_acked:296865 segs_out:260 segs_in:127 send 9.6Mbps lastsnd:4 lastrcv:284 lastack:4 pacing_rate 11.5Mbps unacked:17 retrans:0/35 rcv_space:14480
1605190888.021978, 	 reno wscale:9,9 rto:224 rtt:21.018/0.311 mss:1448 cwnd:18 ssthresh:16 bytes_acked:321481 segs_out:278 segs_in:136 send 9.9Mbps lastsnd:4 lastrcv:304 lastack:4 pacing_rate 11.9Mbps unacked:18 retrans:0/35 rcv_space:14480
1605190888.042026, 	 reno wscale:9,9 rto:224 rtt:21.332/0.661 mss:1448 cwnd:19 ssthresh:16 bytes_acked:347545 segs_out:297 segs_in:145 send 10.3Mbps lastrcv:324 pacing_rate 12.4Mbps unacked:19 retrans:0/35 rcv_space:14480
1605190888.062876, 	 reno wscale:9,9 rto:224 rtt:22.317/1.077 mss:1448 cwnd:20 ssthresh:16 bytes_acked:377953 segs_out:319 segs_in:156 send 10.4Mbps lastsnd:4 lastrcv:352 lastack:4 pacing_rate 12.5Mbps unacked:20 retrans:0/35 rcv_space:14480
1605190888.096584, 	 reno wscale:9,9 rto:224 rtt:23.518/0.888 mss:1448 cwnd:21 ssthresh:16 bytes_acked:415601 segs_out:346 segs_in:169 send 10.3Mbps lastrcv:380 pacing_rate 12.4Mbps unacked:21 retrans:0/35 rcv_space:14480
