1605144450.358853, 	 reno wscale:9,9 rto:452 rtt:251.601/14.633 mss:1448 cwnd:436 bytes_acked:615425 segs_out:863 segs_in:157 send 20.1Mbps lastsnd:4 lastrcv:548 lastack:4 pacing_rate 40.1Mbps unacked:435 rcv_space:14480
1605144450.379906, 	 reno wscale:9,9 rto:464 rtt:262.544/14.517 mss:1448 cwnd:454 bytes_acked:641489 segs_out:899 segs_in:163 send 20.0Mbps lastrcv:564 pacing_rate 40.1Mbps unacked:453 rcv_space:14480
1605144450.399929, 	 reno wscale:9,9 rto:476 rtt:273.46/14.456 mss:1448 cwnd:472 bytes_acked:667553 segs_out:935 segs_in:169 send 20.0Mbps lastrcv:588 pacing_rate 40.0Mbps unacked:471 rcv_space:14480
1605144450.420442, 	 reno wscale:9,9 rto:484 rtt:282.244/13.643 mss:1448 cwnd:487 bytes_acked:689273 segs_out:965 segs_in:174 send 20.0Mbps lastsnd:4 lastrcv:608 lastack:4 pacing_rate 40.0Mbps unacked:486 rcv_space:14480
1605144450.441803, 	 reno wscale:9,9 rto:492 rtt:291.964/13.533 mss:1448 cwnd:505 bytes_acked:715337 segs_out:1001 segs_in:180 send 20.0Mbps lastrcv:628 pacing_rate 40.1Mbps unacked:504 rcv_space:14480
1605144450.461538, 	 reno wscale:9,9 rto:504 rtt:302.939/14.563 mss:1448 cwnd:523 bytes_acked:741401 segs_out:1037 segs_in:186 send 20.0Mbps lastrcv:648 pacing_rate 40.0Mbps unacked:522 rcv_space:14480
1605144450.482242, 	 reno wscale:9,9 rto:512 rtt:311.565/13.761 mss:1448 cwnd:538 bytes_acked:763121 segs_out:1067 segs_in:191 send 20.0Mbps lastrcv:668 pacing_rate 40.0Mbps unacked:537 rcv_space:14480
1605144450.501771, 	 reno wscale:9,9 rto:524 rtt:322.065/13.633 mss:1448 cwnd:556 bytes_acked:789185 segs_out:1103 segs_in:197 send 20.0Mbps lastrcv:688 pacing_rate 40.0Mbps unacked:555 rcv_space:14480
1605144450.522292, 	 reno wscale:9,9 rto:532 rtt:331.294/14.55 mss:1448 cwnd:571 bytes_acked:810905 segs_out:1133 segs_in:202 send 20.0Mbps lastrcv:708 pacing_rate 39.9Mbps unacked:570 rcv_space:14480
1605144450.542756, 	 reno wscale:9,9 rto:544 rtt:341.34/16.293 mss:1448 cwnd:586 bytes_acked:832625 segs_out:1163 segs_in:207 send 19.9Mbps lastrcv:728 pacing_rate 39.8Mbps unacked:585 rcv_space:14480
1605144450.564278, 	 reno wscale:9,9 rto:556 rtt:353.683/16.19 mss:1448 cwnd:604 bytes_acked:858689 segs_out:1199 segs_in:213 send 19.8Mbps lastsnd:4 lastrcv:752 lastack:4 pacing_rate 39.6Mbps unacked:603 rcv_space:14480
1605144450.586035, 	 reno wscale:9,9 rto:568 rtt:364.324/13.763 mss:1448 cwnd:606 ssthresh:308 bytes_acked:876065 segs_out:1226 segs_in:219 send 19.3Mbps lastsnd:4 lastrcv:776 lastack:4 pacing_rate 23.5Mbps unacked:615 retrans:3/3 lost:6 sacked:6 rcv_space:14480
1605144450.608560, 	 reno wscale:9,9 rto:572 rtt:369.986/6.777 mss:1448 cwnd:575 ssthresh:308 bytes_acked:876065 segs_out:1237 segs_in:226 send 18.0Mbps lastsnd:4 lastrcv:800 lastack:4 pacing_rate 23.1Mbps unacked:615 retrans:14/14 lost:27 sacked:27 rcv_space:14480
1605144450.634117, 	 reno wscale:9,9 rto:576 rtt:372.017/3.187 mss:1448 cwnd:548 ssthresh:308 bytes_acked:876065 segs_out:1246 segs_in:232 send 17.1Mbps lastsnd:4 lastrcv:820 lastack:4 pacing_rate 23.0Mbps unacked:615 retrans:23/23 lost:45 sacked:45 rcv_space:14480
1605144450.653918, 	 reno wscale:9,9 rto:576 rtt:373.205/1.777 mss:1448 cwnd:521 ssthresh:308 bytes_acked:876065 segs_out:1255 segs_in:238 send 16.2Mbps lastrcv:840 pacing_rate 22.9Mbps unacked:615 retrans:32/32 lost:63 sacked:63 rcv_space:14480
1605144450.674720, 	 reno wscale:9,9 rto:576 rtt:373.462/0.756 mss:1448 cwnd:498 ssthresh:308 bytes_acked:876065 segs_out:1262 segs_in:243 send 15.4Mbps lastsnd:4 lastrcv:860 lastack:4 pacing_rate 22.9Mbps unacked:615 retrans:39/39 lost:78 sacked:78 rcv_space:14480
1605144450.693796, 	 reno wscale:9,9 rto:576 rtt:373.663/0.411 mss:1448 cwnd:471 ssthresh:308 bytes_acked:876065 segs_out:1271 segs_in:249 send 14.6Mbps lastrcv:880 pacing_rate 22.9Mbps unacked:615 retrans:48/48 lost:96 sacked:96 rcv_space:14480
1605144450.716170, 	 reno wscale:9,9 rto:576 rtt:373.66/0.31 mss:1448 cwnd:444 ssthresh:308 bytes_acked:876065 segs_out:1280 segs_in:255 send 13.8Mbps lastsnd:4 lastrcv:904 lastack:4 pacing_rate 22.9Mbps unacked:615 retrans:57/57 lost:114 sacked:114 rcv_space:14480
1605144450.735813, 	 reno wscale:9,9 rto:576 rtt:373.61/0.159 mss:1448 cwnd:422 ssthresh:308 bytes_acked:876065 segs_out:1288 segs_in:260 send 13.1Mbps lastsnd:4 lastrcv:924 lastack:4 pacing_rate 22.9Mbps unacked:615 retrans:65/65 lost:129 sacked:129 rcv_space:14480
1605144450.756241, 	 reno wscale:9,9 rto:576 rtt:373.625/0.132 mss:1448 cwnd:395 ssthresh:308 bytes_acked:876065 segs_out:1297 segs_in:266 send 12.2Mbps lastsnd:4 lastrcv:944 lastack:4 pacing_rate 22.9Mbps unacked:615 retrans:74/74 lost:147 sacked:147 rcv_space:14480
1605144450.781920, 	 reno wscale:9,9 rto:576 rtt:374.042/0.64 mss:1448 cwnd:363 ssthresh:308 bytes_acked:876065 segs_out:1307 segs_in:273 send 11.2Mbps lastsnd:4 lastrcv:972 lastack:4 pacing_rate 22.9Mbps unacked:615 retrans:84/84 lost:168 sacked:168 rcv_space:14480
1605144450.804123, 	 reno wscale:9,9 rto:576 rtt:375.728/1.857 mss:1448 cwnd:342 ssthresh:308 bytes_acked:876065 segs_out:1316 segs_in:279 send 10.5Mbps lastsnd:4 lastrcv:992 lastack:4 pacing_rate 22.8Mbps unacked:615 retrans:93/93 lost:180 sacked:186 rcv_space:14480
1605144450.825237, 	 reno wscale:9,9 rto:580 rtt:377.65/3.263 mss:1448 cwnd:321 ssthresh:308 bytes_acked:876065 segs_out:1325 segs_in:285 send 9.8Mbps lastrcv:1012 pacing_rate 22.6Mbps unacked:615 retrans:102/102 lost:192 sacked:204 rcv_space:14480
1605144450.846468, 	 reno wscale:9,9 rto:580 rtt:379.381/2.302 mss:1448 cwnd:299 ssthresh:308 bytes_acked:876065 segs_out:1339 segs_in:291 send 9.1Mbps lastrcv:1032 pacing_rate 22.5Mbps unacked:615 retrans:116/116 lost:210 sacked:222 rcv_space:14480
1605144450.866959, 	 reno wscale:9,9 rto:584 rtt:380.139/1.232 mss:1448 cwnd:281 ssthresh:308 bytes_acked:876065 segs_out:1357 segs_in:297 send 8.6Mbps lastrcv:1056 pacing_rate 22.5Mbps unacked:615 retrans:134/134 lost:228 sacked:240 rcv_space:14480
1605144450.888214, 	 reno wscale:9,9 rto:584 rtt:380.284/0.763 mss:1448 cwnd:263 ssthresh:308 bytes_acked:876065 segs_out:1375 segs_in:303 send 8.0Mbps lastrcv:1076 pacing_rate 22.5Mbps unacked:615 retrans:152/152 lost:246 sacked:258 rcv_space:14480
1605144450.909124, 	 reno wscale:9,9 rto:580 rtt:378.726/0.896 mss:1448 cwnd:239 ssthresh:308 bytes_acked:876065 segs_out:1390 segs_in:308 send 7.3Mbps lastrcv:1096 pacing_rate 22.6Mbps unacked:615 retrans:167/167 lost:270 sacked:273 rcv_space:14480
1605144450.929911, 	 reno wscale:9,9 rto:580 rtt:376.397/1.27 mss:1448 cwnd:224 ssthresh:308 bytes_acked:876065 segs_out:1408 segs_in:314 send 6.9Mbps lastrcv:1116 pacing_rate 22.7Mbps unacked:615 retrans:185/185 lost:285 sacked:291 rcv_space:14480
1605144450.950780, 	 reno wscale:9,9 rto:576 rtt:375.377/1.12 mss:1448 cwnd:206 ssthresh:308 bytes_acked:876065 segs_out:1426 segs_in:320 send 6.4Mbps lastrcv:1140 pacing_rate 22.8Mbps unacked:615 retrans:203/203 lost:303 sacked:309 rcv_space:14480
1605144450.973382, 	 reno wscale:9,9 rto:568 rtt:367.63/2.454 mss:1448 cwnd:308 ssthresh:308 bytes_acked:919505 segs_out:1546 segs_in:330 send 9.7Mbps lastrcv:1160 pacing_rate 22.7Mbps unacked:602 retrans:291/306 lost:291 sacked:294 rcv_space:14480
1605144450.994258, 	 reno wscale:9,9 rto:552 rtt:348.22/5.811 mss:1448 cwnd:308 ssthresh:308 bytes_acked:971633 segs_out:1564 segs_in:342 send 10.2Mbps lastrcv:1180 pacing_rate 23.3Mbps unacked:584 retrans:273/306 lost:273 sacked:276 rcv_space:14480
1605144451.013969, 	 reno wscale:9,9 rto:532 rtt:329.264/8.174 mss:1448 cwnd:308 ssthresh:308 bytes_acked:1017969 segs_out:1581 segs_in:353 send 10.8Mbps lastrcv:1200 pacing_rate 23.9Mbps unacked:569 retrans:256/306 lost:256 sacked:261 rcv_space:14480
1605144451.034303, 	 reno wscale:9,9 rto:524 rtt:320.086/9.133 mss:1448 cwnd:306 ssthresh:308 bytes_acked:1041137 segs_out:1597 segs_in:364 send 11.1Mbps lastrcv:1220 pacing_rate 24.5Mbps unacked:567 retrans:240/308 lost:240 sacked:261 rcv_space:14480
1605144451.053567, 	 reno wscale:9,9 rto:524 rtt:320.086/9.133 mss:1448 cwnd:306 ssthresh:308 bytes_acked:1041137 segs_out:1613 segs_in:375 send 11.1Mbps lastrcv:1240 pacing_rate 25.3Mbps unacked:583 retrans:224/308 lost:224 sacked:277 rcv_space:14480
1605144451.073719, 	 reno wscale:9,9 rto:524 rtt:320.086/9.133 mss:1448 cwnd:306 ssthresh:308 bytes_acked:1041137 segs_out:1630 segs_in:386 send 11.1Mbps lastrcv:1260 pacing_rate 26.0Mbps unacked:600 retrans:207/308 lost:207 sacked:294 rcv_space:14480
1605144451.095349, 	 reno wscale:9,9 rto:524 rtt:320.086/9.133 mss:1448 cwnd:286 ssthresh:308 bytes_acked:1041137 segs_out:1647 segs_in:401 send 10.4Mbps lastrcv:1280 pacing_rate 26.4Mbps unacked:607 retrans:180/318 lost:190 sacked:311 rcv_space:14480
1605144451.115249, 	 reno wscale:9,9 rto:524 rtt:320.086/9.133 mss:1448 cwnd:260 ssthresh:308 bytes_acked:1041137 segs_out:1663 segs_in:416 send 9.4Mbps lastrcv:1300 pacing_rate 26.4Mbps unacked:607 retrans:154/334 lost:174 sacked:327 rcv_space:14480
1605144451.134889, 	 reno wscale:9,9 rto:504 rtt:302.243/13.308 mss:1448 cwnd:146 ssthresh:308 bytes_acked:1041137 segs_out:1680 segs_in:429 send 5.6Mbps lastsnd:4 lastrcv:1324 lastack:4 pacing_rate 46.5Mbps unacked:607 retrans:45/351 lost:162 sacked:344 rcv_space:14480
1605144451.155467, 	 reno wscale:9,9 rto:408 rtt:205.712/29.241 mss:1448 cwnd:146 ssthresh:308 bytes_acked:1041137 segs_out:1697 segs_in:440 send 8.2Mbps lastrcv:1340 pacing_rate 68.4Mbps unacked:607 retrans:62/368 lost:162 sacked:361 rcv_space:14480
1605144451.175397, 	 reno wscale:9,9 rto:384 rtt:181.843/11.425 mss:1448 cwnd:145 ssthresh:308 bytes_acked:1041137 segs_out:1714 segs_in:452 send 9.2Mbps lastrcv:1360 pacing_rate 77.3Mbps unacked:607 retrans:79/385 lost:163 sacked:378 rcv_space:14480
1605144451.194912, 	 reno wscale:9,9 rto:380 rtt:177.161/2.556 mss:1448 cwnd:145 ssthresh:308 bytes_acked:1041137 segs_out:1730 segs_in:463 send 9.5Mbps lastsnd:4 lastrcv:1384 lastack:4 pacing_rate 79.4Mbps unacked:607 retrans:95/401 lost:163 sacked:394 rcv_space:14480
1605144451.216910, 	 reno wscale:9,9 rto:376 rtt:175.211/0.946 mss:1448 cwnd:147 ssthresh:308 bytes_acked:1188833 segs_out:1751 segs_in:476 send 9.7Mbps lastrcv:1404 pacing_rate 66.8Mbps unacked:505 retrans:114/422 lost:162 sacked:310 rcv_space:14480
1605144451.237887, 	 reno wscale:9,9 rto:376 rtt:174.762/0.264 mss:1448 cwnd:147 ssthresh:308 bytes_acked:1188833 segs_out:1768 segs_in:487 send 9.7Mbps lastrcv:1424 pacing_rate 66.9Mbps unacked:505 retrans:131/439 lost:162 sacked:327 rcv_space:14480
1605144451.256895, 	 reno wscale:9,9 rto:376 rtt:174.3/0.441 mss:1448 cwnd:147 ssthresh:308 bytes_acked:1188833 segs_out:1784 segs_in:498 send 9.8Mbps lastrcv:1444 pacing_rate 67.1Mbps unacked:505 retrans:147/455 lost:162 sacked:343 rcv_space:14480
1605144451.278718, 	 reno wscale:9,9 rto:376 rtt:174.496/0.556 mss:1448 cwnd:163 ssthresh:308 bytes_acked:1259785 segs_out:1817 segs_in:514 send 10.8Mbps lastrcv:1464 pacing_rate 37.6Mbps unacked:474 retrans:145/470 lost:145 sacked:311 rcv_space:14480
