1605443034.973373, 	 reno rto:1000 mss:524 cwnd:10 segs_out:1 lastsnd:4294712636 lastrcv:4294712636 lastack:4294712636 unacked:1
1605443035.050757, 	 reno wscale:9,9 rto:232 rtt:31.952/10.316 mss:1448 cwnd:20 bytes_acked:13057 segs_out:32 segs_in:7 send 7.3Mbps lastsnd:4 lastrcv:36 lastack:4 pacing_rate 14.5Mbps unacked:20 rcv_space:14480
1605443035.074426, 	 reno wscale:9,9 rto:232 rtt:28.297/3.772 mss:1448 cwnd:34 bytes_acked:33329 segs_out:60 segs_in:14 send 13.9Mbps lastrcv:56 pacing_rate 27.8Mbps unacked:34 rcv_space:14480
1605443035.093767, 	 reno wscale:9,9 rto:232 rtt:28.661/2.375 mss:1448 cwnd:52 bytes_acked:59393 segs_out:95 segs_in:23 send 21.0Mbps lastrcv:76 pacing_rate 42.0Mbps unacked:51 rcv_space:14480
1605443035.116448, 	 reno wscale:9,9 rto:236 rtt:34.277/6.104 mss:1448 cwnd:68 bytes_acked:82561 segs_out:128 segs_in:31 send 23.0Mbps lastsnd:4 lastrcv:100 lastack:4 pacing_rate 46.0Mbps unacked:68 rcv_space:14480
1605443035.137183, 	 reno wscale:9,9 rto:244 rtt:43.45/8.207 mss:1448 cwnd:86 bytes_acked:108625 segs_out:164 segs_in:40 send 22.9Mbps lastrcv:120 pacing_rate 45.9Mbps unacked:86 rcv_space:14480
1605443035.158112, 	 reno wscale:9,9 rto:252 rtt:50.802/9.817 mss:1448 cwnd:103 bytes_acked:133241 segs_out:197 segs_in:46 send 23.5Mbps lastrcv:140 pacing_rate 47.0Mbps unacked:102 rcv_space:14480
1605443035.178085, 	 reno wscale:9,9 rto:260 rtt:59.885/11.836 mss:1448 cwnd:121 bytes_acked:159305 segs_out:233 segs_in:52 send 23.4Mbps lastrcv:160 pacing_rate 46.8Mbps unacked:120 rcv_space:14480
1605443035.199592, 	 reno wscale:9,9 rto:272 rtt:68.322/13.202 mss:1448 cwnd:136 bytes_acked:181025 segs_out:263 segs_in:57 send 23.1Mbps lastrcv:180 pacing_rate 46.1Mbps unacked:135 rcv_space:14480
1605443035.218378, 	 reno wscale:9,9 rto:280 rtt:78.788/13.87 mss:1448 cwnd:154 bytes_acked:207089 segs_out:299 segs_in:63 send 22.6Mbps lastrcv:200 pacing_rate 45.3Mbps unacked:153 rcv_space:14480
1605443035.238684, 	 reno wscale:9,9 rto:292 rtt:89.629/14.454 mss:1448 cwnd:172 bytes_acked:233153 segs_out:335 segs_in:69 send 22.2Mbps lastrcv:224 lastack:4 pacing_rate 44.5Mbps unacked:171 rcv_space:14480
1605443035.266674, 	 reno wscale:9,9 rto:304 rtt:102.811/15.054 mss:1448 cwnd:193 bytes_acked:263561 segs_out:377 segs_in:76 send 21.7Mbps lastrcv:248 pacing_rate 43.5Mbps unacked:192 rcv_space:14480
1605443035.288659, 	 reno wscale:9,9 rto:316 rtt:113.744/14.802 mss:1448 cwnd:211 bytes_acked:289625 segs_out:413 segs_in:82 send 21.5Mbps lastsnd:4 lastrcv:272 lastack:4 pacing_rate 43.0Mbps unacked:210 rcv_space:14480
1605443035.311058, 	 reno wscale:9,9 rto:328 rtt:124.659/14.678 mss:1448 cwnd:229 bytes_acked:315689 segs_out:449 segs_in:88 send 21.3Mbps lastrcv:292 pacing_rate 42.6Mbps unacked:228 rcv_space:14480
1605443035.332555, 	 reno wscale:9,9 rto:336 rtt:135.752/14.816 mss:1448 cwnd:247 bytes_acked:341753 segs_out:485 segs_in:94 send 21.1Mbps lastsnd:4 lastrcv:316 lastack:4 pacing_rate 42.2Mbps unacked:246 rcv_space:14480
1605443035.353788, 	 reno wscale:9,9 rto:348 rtt:146.653/14.742 mss:1448 cwnd:265 bytes_acked:367817 segs_out:521 segs_in:100 send 20.9Mbps lastrcv:336 pacing_rate 41.9Mbps unacked:264 rcv_space:14480
1605443035.374384, 	 reno wscale:9,9 rto:360 rtt:157.607/14.753 mss:1448 cwnd:283 bytes_acked:393881 segs_out:557 segs_in:106 send 20.8Mbps lastsnd:4 lastrcv:360 lastack:4 pacing_rate 41.6Mbps unacked:282 rcv_space:14480
1605443035.397515, 	 reno wscale:9,9 rto:372 rtt:168.332/14.527 mss:1448 cwnd:301 bytes_acked:419945 segs_out:593 segs_in:112 send 20.7Mbps lastrcv:380 pacing_rate 41.4Mbps unacked:300 rcv_space:14480
1605443035.419471, 	 reno wscale:9,9 rto:380 rtt:179.343/14.546 mss:1448 cwnd:319 bytes_acked:446009 segs_out:629 segs_in:118 send 20.6Mbps lastrcv:400 pacing_rate 41.2Mbps unacked:318 rcv_space:14480
1605443035.440593, 	 reno wscale:9,9 rto:392 rtt:190.141/14.522 mss:1448 cwnd:337 bytes_acked:472073 segs_out:665 segs_in:124 send 20.5Mbps lastsnd:4 lastrcv:424 lastack:4 pacing_rate 41.1Mbps unacked:336 rcv_space:14480
1605443035.461552, 	 reno wscale:9,9 rto:404 rtt:200.878/14.563 mss:1448 cwnd:355 bytes_acked:498137 segs_out:701 segs_in:130 send 20.5Mbps lastrcv:444 pacing_rate 40.9Mbps unacked:354 rcv_space:14480
1605443035.483522, 	 reno wscale:9,9 rto:412 rtt:211.533/14.553 mss:1448 cwnd:373 bytes_acked:524201 segs_out:737 segs_in:136 send 20.4Mbps lastrcv:464 pacing_rate 40.9Mbps unacked:372 rcv_space:14480
1605443035.504816, 	 reno wscale:9,9 rto:424 rtt:220.814/14.622 mss:1448 cwnd:388 bytes_acked:545921 segs_out:767 segs_in:141 send 20.4Mbps lastrcv:484 pacing_rate 40.7Mbps unacked:387 rcv_space:14480
1605443035.524607, 	 reno wscale:9,9 rto:432 rtt:231.662/14.305 mss:1448 cwnd:406 bytes_acked:571985 segs_out:803 segs_in:147 send 20.3Mbps lastsnd:4 lastrcv:508 lastack:4 pacing_rate 40.6Mbps unacked:405 rcv_space:14480
1605443035.544801, 	 reno wscale:9,9 rto:444 rtt:242.491/14.364 mss:1448 cwnd:424 bytes_acked:598049 segs_out:839 segs_in:153 send 20.3Mbps lastrcv:528 pacing_rate 40.5Mbps unacked:423 rcv_space:14480
1605443035.566626, 	 reno wscale:9,9 rto:452 rtt:251.643/14.655 mss:1448 cwnd:439 bytes_acked:619769 segs_out:869 segs_in:158 send 20.2Mbps lastsnd:4 lastrcv:548 lastack:4 pacing_rate 40.4Mbps unacked:438 rcv_space:14480
1605443035.586870, 	 reno wscale:9,9 rto:464 rtt:262.573/14.747 mss:1448 cwnd:457 bytes_acked:645833 segs_out:905 segs_in:164 send 20.2Mbps lastsnd:4 lastrcv:572 lastack:4 pacing_rate 40.3Mbps unacked:456 rcv_space:14480
1605443035.608559, 	 reno wscale:9,9 rto:476 rtt:273.074/14.331 mss:1448 cwnd:475 bytes_acked:671897 segs_out:941 segs_in:170 send 20.1Mbps lastrcv:588 pacing_rate 40.3Mbps unacked:474 rcv_space:14480
1605443035.628491, 	 reno wscale:9,9 rto:484 rtt:282.174/14.42 mss:1448 cwnd:490 bytes_acked:693617 segs_out:971 segs_in:175 send 20.1Mbps lastsnd:4 lastrcv:612 lastack:4 pacing_rate 40.2Mbps unacked:489 rcv_space:14480
1605443035.649482, 	 reno wscale:9,9 rto:496 rtt:293.273/14.571 mss:1448 cwnd:508 bytes_acked:719681 segs_out:1007 segs_in:181 send 20.1Mbps lastsnd:4 lastrcv:632 lastack:4 pacing_rate 40.1Mbps unacked:507 rcv_space:14480
1605443035.670259, 	 reno wscale:9,9 rto:508 rtt:304.141/14.353 mss:1448 cwnd:526 bytes_acked:745745 segs_out:1043 segs_in:187 send 20.0Mbps lastrcv:652 pacing_rate 40.1Mbps unacked:525 rcv_space:14480
1605443035.692311, 	 reno wscale:9,9 rto:516 rtt:315.041/14.266 mss:1448 cwnd:544 bytes_acked:771809 segs_out:1079 segs_in:193 send 20.0Mbps lastrcv:672 pacing_rate 40.0Mbps unacked:543 rcv_space:14480
1605443035.713348, 	 reno wscale:9,9 rto:528 rtt:325.817/14.419 mss:1448 cwnd:562 bytes_acked:797873 segs_out:1115 segs_in:199 send 20.0Mbps lastrcv:696 pacing_rate 40.0Mbps unacked:561 rcv_space:14480
1605443035.733028, 	 reno wscale:9,9 rto:536 rtt:335.274/15.068 mss:1448 cwnd:577 bytes_acked:819593 segs_out:1145 segs_in:204 send 19.9Mbps lastsnd:4 lastrcv:716 lastack:4 pacing_rate 39.9Mbps unacked:576 rcv_space:14480
1605443035.754481, 	 reno wscale:9,9 rto:548 rtt:346.318/14.918 mss:1448 cwnd:595 bytes_acked:845657 segs_out:1181 segs_in:210 send 19.9Mbps lastrcv:736 pacing_rate 39.8Mbps unacked:594 rcv_space:14480
1605443035.774309, 	 reno wscale:9,9 rto:560 rtt:356.866/14.534 mss:1448 cwnd:613 bytes_acked:871721 segs_out:1217 segs_in:216 send 19.9Mbps lastrcv:756 pacing_rate 39.8Mbps unacked:612 rcv_space:14480
1605443035.794453, 	 reno wscale:9,9 rto:568 rtt:365.883/14.424 mss:1448 cwnd:628 bytes_acked:893441 segs_out:1247 segs_in:221 send 19.9Mbps lastrcv:776 pacing_rate 39.8Mbps unacked:627 rcv_space:14480
1605443035.814848, 	 reno wscale:9,9 rto:580 rtt:377.008/14.57 mss:1448 cwnd:646 bytes_acked:919505 segs_out:1283 segs_in:227 send 19.8Mbps lastrcv:796 pacing_rate 39.7Mbps unacked:645 rcv_space:14480
1605443035.835638, 	 reno wscale:9,9 rto:588 rtt:386.363/14.821 mss:1448 cwnd:661 bytes_acked:941225 segs_out:1313 segs_in:232 send 19.8Mbps lastrcv:816 pacing_rate 39.6Mbps unacked:660 rcv_space:14480
1605443035.856720, 	 reno wscale:9,9 rto:604 rtt:401.084/15.176 mss:1448 cwnd:685 bytes_acked:975977 segs_out:1361 segs_in:240 send 19.8Mbps lastsnd:4 lastrcv:848 lastack:4 pacing_rate 39.6Mbps unacked:684 rcv_space:14480
1605443035.885429, 	 reno wscale:9,9 rto:616 rtt:413.262/14.18 mss:1448 cwnd:706 bytes_acked:1006385 segs_out:1403 segs_in:247 send 19.8Mbps lastrcv:868 pacing_rate 39.6Mbps unacked:705 rcv_space:14480
